Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
R.N. Fedoseev,M,B,Raw,42.5,40-44,40-49,Open,86.6,90,,,,,,-135,-135,-135,,,,,,,,,DQ,,,,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A. Yanovskiy,M,B,Raw,41.5,40-44,40-49,Open,83.1,90,,,,,,150,160,-162.5,,160,,,,,,160,2,107.94,106.72,102.66,80.32,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
M. Khalevin,M,B,Raw,29.5,24-34,24-39,Open,89.7,90,,,,,,-145,145,-150,,145,,,,,,145,4,93.92,92.72,88.88,70.03,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A. Kosykh,M,B,Raw,31.5,24-34,24-39,Open,93.8,100,,,,,,180,-190,-190,,180,,,,,,180,1,114.06,112.62,107.75,85.04,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
S.A. Mostovnikov,M,B,Raw,42.5,40-44,40-49,Open,96.6,100,,,,,,140,150,-152.5,,150,,,,,,150,2,93.76,92.62,88.53,69.86,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
M.V. Barma,M,B,Raw,37.5,35-39,24-39,Open,105,100+,,,,,,165,167.5,170,,170,,,,,,170,3,102.53,101.58,97.00,76.12,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A.M. Bliner,M,B,Raw,35.5,35-39,24-39,Open,103.4,100+,,,,,,150,170,-175,,170,,,,,,170,2,103.17,102.14,97.53,76.67,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
O.A. Kishko,M,B,Raw,28.5,24-34,24-39,Open,105,100+,,,,,,150,-160,,,150,,,,,,150,4,90.46,89.63,85.59,67.16,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
D.A. Rybakov,M,B,Raw,32.5,24-34,24-39,Open,118.2,100+,,,,,,170,180,-185,,180,,,,,,180,1,103.90,103.86,99.50,76.43,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
V. Gribov,M,B,Raw,33.5,24-34,24-39,Disabled,89.2,,,,,,,122.5,127.5,,,127.5,,,,,,127.5,2,82.82,81.77,78.40,61.75,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
I.E. Chkalov,M,B,Raw,26.5,24-34,24-39,Disabled,72.5,,,,,,,115,117.5,120,,120,,,,,,120,1,88.02,87.60,84.76,64.70,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
V.M. Matsur,M,B,Raw,53.5,50-54,50-59,Masters 50+,113,,,,,,,170,-175,175,,175,,,,,,175,1,102.62,102.17,97.74,75.79,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
M. Velichko,M,B,Raw,18.5,18-19,19-23,Juniors 17-21,63.7,,,,,,,-80,80,85,,85,,,,,,85,3,68.41,68.76,66.93,49.16,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
T. Grubyy,M,B,Raw,16.5,16-17,14-18,Juniors 17-21,79.5,,,,,,,115,120,122.5,,122.5,,,,,,122.5,1,84.78,83.96,80.92,62.91,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
D.A. Kolyuchenko,M,B,Raw,16.5,16-17,14-18,Juniors 17-21,62.7,,,,,,,-80,80,85,,85,,,,,,85,2,69.26,69.70,67.90,49.59,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
M. Salogubov,M,B,Raw,15.5,16-17,14-18,Teen 13-16,69.4,,,,,,,60,65,-70,,65,,,,,,65,1,49.12,49.03,47.54,35.88,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
I.A. Trakhimovich,M,B,Raw,14.5,13-15,14-18,Teen 13-16,68,,,,,,,25,30,35,,35,,,,,,35,2,26.83,26.83,26.03,19.53,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
E.S. Denisenko,F,S,Wraps,28.5,24-34,24-39,Open,67.3,,70,80,85,,85,,,,,,,,,,,85,1,87.90,86.94,76.70,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
O.A. Kishko,M,S,Wraps,28.5,24-34,24-39,Open,105,,180,,,,180,,,,,,,,,,,180,2,108.56,107.56,102.71,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
V. Sinyak,M,S,Wraps,36.5,35-39,24-39,Open,106.1,,120,,,,120,,,,,,,,,,,120,3,72.07,71.45,68.23,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A.A. Chernysh,M,S,Wraps,21.5,20-23,19-23,Open,89.5,,240,,,,240,,,,,,,,,,,240,1,155.62,153.65,147.30,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A.E. Arseniy,F,D,Raw,21.5,20-23,19-23,Open,60.8,,,,,,,,,,,,120,130,-135,,130,130,2,142.92,143.46,126.73,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
Marina Gorbachyova,F,D,Raw,35.5,35-39,24-39,Open,52,,,,,,,,,,,,150,160,-170,,160,160,1,195.02,199.46,176.81,,,Belarus,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
O.A. Kishko,M,D,Raw,28.5,24-34,24-39,Open,105,,,,,,,,,,,,200,-210,,,200,200,3,120.62,119.51,114.12,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A. Kulik,M,D,Raw,26.5,24-34,24-39,Open,96.5,,,,,,,,,,,,300,320,,,320,320,1,200.11,197.67,188.95,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
V.Yu. Korostelev,M,D,Raw,26.5,24-34,24-39,Open,88.3,,,,,,,,,,,,210,220,-227.5,,220,220,2,143.64,141.84,136.06,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
M. Velichko,M,D,Raw,18.5,18-19,19-23,Juniors 17-21,63.7,,,,,,,,,,,,150,160,165,,165,165,1,132.79,133.47,129.92,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
T. Grubyy,M,D,Raw,16.5,16-17,14-18,Juniors 17-21,79.5,,,,,,,,,,,,170,180,190,,190,190,2,131.50,130.23,125.51,,,,,GSF-Belarus,,2019-06-22,Belarus,,Luninets,Bison Power Cup,Yes
A. Killin,M,BD,Raw,,,,Open,67.5,67.5,,,,,,,,,,122.5,,,,,165,287.5,1,221.59,221.67,215.17,,,USA,NC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Heiskanen,M,BD,Raw,,,,Open,75,75,,,,,,,,,,120,,,,,202.5,322.5,1,231.37,229.80,222.04,,,Finland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Vezina,M,BD,Raw,,,,Open,75,75,,,,,,,,,,105,,,,,165,270,2,193.70,192.39,185.90,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Moreau,M,BD,Raw,,,,Open,82.5,82.5,,,,,,,,,,150,,,,,272.5,422.5,1,286.20,283.04,272.34,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
P. Anderle,M,BD,Raw,,,,Open,82.5,82.5,,,,,,,,,,130,,,,,252.5,382.5,2,259.10,256.24,246.55,,,Czechia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Krupp,M,BD,Raw,,,,Open,82.5,82.5,,,,,,,,,,150,,,,,230,380,3,257.41,254.56,244.94,,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. A. Balderrama,M,BD,Raw,,,,Open,90,90,,,,,,,,,,167.5,,,,,242.5,410,1,265.11,261.74,250.85,,,USA,OK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Berkes,M,BD,Raw,,,,Open,90,90,,,,,,,,,,135,,,,,255,390,2,252.17,248.97,238.62,,,Hungary,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Vall,M,BD,Raw,,,,Open,90,90,,,,,,,,,,160,,,,,215,375,3,242.48,239.40,229.44,,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. F. Balderrama,M,BD,Raw,,,,Open,100,100,,,,,,,,,,177.5,,,,,277.5,455,1,280.06,276.91,264.48,,,USA,OK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Barrett,M,BD,Raw,,16-17,14-18,Open,100,100,,,,,,,,,,195,,,,,252.5,447.5,2,275.44,272.34,260.12,,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Camponi,M,BD,Raw,,,,Open,100,100,,,,,,,,,,175,,,,,200,375,3,230.82,228.22,217.98,,,Brazil,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Ovechkin,M,BD,Raw,,,,Open,110,110,,,,,,,,,,215,,,,,330,545,1,322.79,320.73,306.54,,,Russia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Pelletier,M,BD,Raw,,,,Open,110,110,,,,,,,,,,177.5,,,,,280,457.5,2,270.96,269.24,257.32,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Stanik,M,BD,Raw,,,,Open,110,110,,,,,,,,,,177.5,,,,,260,437.5,3,259.12,257.47,246.07,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Geiger,M,BD,Raw,,,,Open,125,125,,,,,,,,,,202.5,,,,,295,497.5,1,281.96,283.50,271.30,,,USA,IL,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Pinc,M,BD,Raw,,,,Open,125,125,,,,,,,,,,180,,,,,290,470,2,266.38,267.83,256.30,,,Czechia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
P. Aan,M,BD,Raw,,,,Open,125,125,,,,,,,,,,187.5,,,,,262.5,450,3,255.04,256.43,245.40,,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. McManmon,M,BD,Raw,,,,Open,,125+,,,,,,,,,,142.5,,,,,275,417.5,1,,,,,,USA,MA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
E. Lessard,M,BD,Raw,,,,Senior A,75,75,,,,,,,,,,132.5,,,,,227.5,360,1,258.27,256.52,247.86,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
H. Carlsson,M,BD,Raw,,,,Senior A,75,75,,,,,,,,,,145,,,,,200,345,2,247.51,245.83,237.53,,,Sweden,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Vaisanen,M,BD,Raw,,,,Senior A,75,75,,,,,,,,,,130,,,,,197.5,327.5,3,234.96,233.36,225.49,,,Finland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Borgarsson,M,BD,Raw,,,,Senior A,82.5,82.5,,,,,,,,,,160,,,,,252.5,412.5,1,279.42,276.34,265.89,,,Iceland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Manyaykin,M,BD,Raw,,,,Senior A,82.5,82.5,,,,,,,,,,155,,,,,235,390,2,264.18,261.26,251.39,,,Russia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Jasovsky,M,BD,Raw,,,,Senior A,82.5,82.5,,,,,,,,,,160,,,,,227.5,387.5,3,262.49,259.59,249.78,,,Czechia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. Martinez V,M,BD,Raw,,,,Senior A,90,90,,,,,,,,,,120,,,,,205,325,1,210.15,207.48,198.85,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
B. Wawrzynczak,M,BD,Raw,,,,Senior A,90,90,,,,,,,,,,130,,,,,150,280,2,181.05,178.75,171.31,,,Poland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Becsei,M,BD,Raw,,,,Senior A,100,100,,,,,,,,,,152.5,,,,,240,392.5,1,241.59,238.87,228.15,,,USA,AZ,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Parviainen,M,BD,Raw,,,,Senior A,100,100,,,,,,,,,,130,,,,,200,330,2,203.12,200.83,191.82,,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Hall,M,BD,Raw,,,,Senior A,110,110,,,,,,,,,,170,,,,,295,465,1,275.40,273.65,261.54,,,Canada,AB,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Zarubin,M,BD,Raw,,,,Senior A,110,110,,,,,,,,,,155,,,,,285,440,2,260.60,258.94,247.48,,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Curtin,M,BD,Raw,,,,Senior A,110,110,,,,,,,,,,182.5,,,,,255,437.5,3,259.12,257.47,246.07,,,USA,OH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Zhandarov,M,BD,Raw,,,,Senior A,125,125,,,,,,,,,,120,,,,,200,320,1,181.36,182.35,174.50,,,Kazakhstan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Nurgaliyev,M,BD,Raw,,,,Senior B,75,75,,,,,,,,,,130,,,,,200,330,1,236.75,235.14,227.21,,,Kazakhstan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Henrick,M,BD,Raw,,,,Senior B,75,75,,,,,,,,,,117.5,,,,,150,267.5,2,191.91,190.61,184.17,,,USA,PA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Segui B,M,BD,Raw,,,,Senior B,82.5,82.5,,,,,,,,,,120,,,,,170,290,1,196.44,194.27,186.93,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Sedlacek,M,BD,Raw,,,,Senior B,90,90,,,,,,,,,,157.5,,,,,245,402.5,1,260.26,256.95,246.26,,,Czechia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Noel,M,BD,Raw,,,,Senior B,90,90,,,,,,,,,,140,,,,,232.5,372.5,2,240.86,237.80,227.91,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
U. Treier,M,BD,Raw,,,,Senior B,90,90,,,,,,,,,,112.5,,,,,240,352.5,3,227.93,225.03,215.67,,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Miller,M,BD,Raw,,,,Senior B,100,100,,,,,,,,,,170,,,,,262.5,432.5,1,266.21,263.21,251.40,,,Canada,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Stewart,M,BD,Raw,,,,Senior B,100,100,,,,,,,,,,162.5,,,,,245,407.5,2,250.82,248.00,236.87,,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Gagnon,M,BD,Raw,,,,Senior B,100,100,,,,,,,,,,155,,,,,250,405,3,249.28,246.48,235.41,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Cole,M,BD,Raw,,,,Senior B,110,110,,,,,,,,,,200,,,,,300,500,1,296.13,294.25,281.23,,,USA,IA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
Bert Eyler,M,BD,Raw,,,,Senior B,110,110,,,,,,,,,,160,,,,,270,430,2,254.67,253.05,241.85,,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
U. Heinrich,M,BD,Raw,,,,Senior B,110,110,,,,,,,,,,187.5,,,,,235,422.5,3,250.23,248.64,237.64,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Lesage,M,BD,Raw,,,,Senior B,125,125,,,,,,,,,,180,,,,,290,470,1,266.38,267.83,256.30,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
P. Leandro,M,BD,Raw,,,,Senior B,125,125,,,,,,,,,,170,,,,,300,470,2,266.38,267.83,256.30,,,Portugal,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Mujagic,M,BD,Raw,,,,Masters A,56,56,,,,,,,,,,62.5,,,,,120,182.5,1,163.35,166.14,162.89,,,Croatia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
F. Wunderlich,M,BD,Raw,,,,Masters A,60,60,,,,,,,,,,90,,,,,140,230,1,194.13,196.16,191.55,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
P. Martinez F,M,BD,Raw,,,,Masters A,67.5,67.5,,,,,,,,,,87.5,,,,,145,232.5,1,179.20,179.26,174.01,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Cipa,M,BD,Raw,,,,Masters A,67.5,67.5,,,,,,,,,,75,,,,,140,215,2,165.71,165.77,160.91,,,Czechia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Laing,M,BD,Raw,,,,Masters A,75,75,,,,,,,,,,157.5,,,,,220,377.5,1,270.83,268.99,259.91,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Hallahan,M,BD,Raw,,,,Masters A,75,75,,,,,,,,,,130,,,,,200,330,2,236.75,235.14,227.21,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
I. Hietanen,M,BD,Raw,,,,Masters A,75,75,,,,,,,,,,120,,,,,182.5,302.5,3,217.02,215.55,208.27,,,Finland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Durocher,M,BD,Raw,,,,Masters A,82.5,82.5,,,,,,,,,,127.5,,,,,160,287.5,1,194.75,192.60,185.32,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Black,M,BD,Raw,,35-39,24-39,Masters A,90,90,,,,,,,,,,150,,,,,230,380,1,245.71,242.59,232.50,,,USA,GA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Goudey,M,BD,Raw,,,,Masters A,90,90,,,,,,,,,,147.5,,,,,230,377.5,2,244.09,240.99,230.97,,,USA,MA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
E. Teder,M,BD,Raw,,,,Masters A,90,90,,,,,,,,,,130,,,,,220,350,3,226.31,223.44,214.14,,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Pohl,M,BD,Raw,,,,Masters A,100,100,,,,,,,,,,197.5,,,,,250,447.5,1,275.44,272.34,260.12,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Frames,M,BD,Raw,,,,Masters A,100,100,,,,,,,,,,160,,,,,230,390,2,240.05,237.35,226.70,,,USA,OH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
E. Ercan,M,BD,Raw,,,,Masters A,100,100,,,,,,,,,,117.5,,,,,252.5,370,3,227.74,225.18,215.07,,,USA,NJ,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Simonds,M,BD,Raw,,,,Masters A,110,110,,,,,,,,,,172.5,,,,,227.5,400,1,236.91,235.40,224.98,,,USA,OK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Bellinger,M,BD,Raw,,,,Masters A,110,110,,,,,,,,,,152.5,,,,,235,387.5,2,229.50,228.04,217.95,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Forchion,M,BD,Raw,,,,Masters A,110,110,,,,,,,,,,150,,,,,180,330,3,195.45,194.20,185.61,,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Watts,M,BD,Raw,,,,Masters A,,125+,,,,,,,,,,207.5,,,,,150,357.5,1,,,,,,USA,GA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Lopez G,M,BD,Raw,,,,Masters B,67.5,67.5,,,,,,,,,,80,,,,,110,190,1,146.44,146.49,142.20,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Rey,M,BD,Raw,,,,Masters B,75,75,,,,,,,,,,130,,,,,220,350,1,251.10,249.40,240.98,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Cremades C,M,BD,Raw,,,,Masters B,82.5,82.5,,,,,,,,,,90,,,,,200,290,1,196.44,194.27,186.93,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Kjensli,M,BD,Raw,,,,Masters B,90,90,,,,,,,,,,140,,,,,220,360,1,232.78,229.82,220.26,,,Norway,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Moredo M,M,BD,Raw,,,,Masters B,100,100,,,,,,,,,,170,,,,,210,380,1,233.90,231.26,220.88,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Sedeno M,M,BD,Raw,,,,Masters B,100,100,,,,,,,,,,142.5,,,,,195,337.5,2,207.74,205.40,196.18,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
F. Grotzinger,M,BD,Raw,,,,Masters B,100,100,,,,,,,,,,135,,,,,200,335,3,206.20,203.88,194.73,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Mosher,M,BD,Raw,,,40-49,Masters B,110,110,,,,,,,,,,130,,,,,230,360,1,213.22,211.86,202.48,,,USA,MI,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Suutari,M,BD,Raw,,,,Masters B,125,125,,,,,,,,,,190,,,,,265,455,1,257.87,259.28,248.12,,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Carter,M,BD,Raw,0.5,,,Masters B,125,125,,,,,,,,,,145,,,,,185,330,2,187.03,188.05,179.96,,,USA,MN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Karlsson,M,BD,Raw,,,,Masters B,,125+,,,,,,,,,,110,,,,,170,280,1,,,,,,Sweden,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Tanaka,M,BD,Raw,,,,Grandmasters A,67.5,67.5,,,,,,,,,,105,,,,,140,245,1,188.83,188.90,183.36,,,Japan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Lintner,M,BD,Raw,,,,Grandmasters A,75,75,,,,,,,,,,137.5,,,,,112.5,250,1,179.36,178.14,172.13,,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
